word,label
"Hello,",O
you,O
have,O
called,O
virtual,ORGANIZATION
bank.,ORGANIZATION
This,O
is,O
Nancy,PERSON
speaking.,O
How,O
may,O
I,O
help,O
you?,O
I,O
just,O
had,O
withdrawn,O
some,O
cash,O
from,O
the,O
ATM,O
machine,O
and,O
ATM,O
transaction,O
failed,O
but,O
money,O
got,O
debited.,O
Can,O
you,O
fix,O
this,O
problem?,O
Sure.,O
What,O
is,O
your,O
account,O
number?,O
It,O
is,O
111,CD
to,O
36669,CD
Just,O
a,O
moment.,O
Okay?,O
And,O
what,O
is,O
your,O
name,O
ma'am?,O
My,O
name,O
is,O
Sandra,PERSON
read,PERSON
and,O
what,O
is,O
your,O
birthday,O
man?,O
July,DATE
7th.,DATE
1974,DATE
Okay.,O
What,O
is,O
your,O
address?,O
132,LOCATION
my,LOCATION
Street,LOCATION
"Kingston,",LOCATION
New,LOCATION
York.,LOCATION
"Okay,",O
Miss,O
read,O
can,O
I,O
have,O
your,O
identify,O
number?,O
Okay.,O
-4733,CD
"Okay,",O
I,O
have,O
-4733,CD
Correct.,O
Where,O
is,O
the,O
ATM,O
machine,O
that,O
you,O
had,O
withdrawn,O
the,O
cash?,O
I,O
do,O
not,O
know,O
where,O
exactly,O
it,O
is.,O
It's,O
somewhere,O
on,O
my,LOCATION
street.,LOCATION
That,O
is,O
fine.,O
We,O
will,O
check,O
your,O
withdrawal,O
transaction,O
and,O
we,O
will,O
refund,O
the,O
money,O
to,O
your,O
account.,O
Do,O
you,O
want,O
to,O
receive,O
the,O
message,O
when,O
we,O
are,O
refunding,O
the,O
money?,O
"Yes,",O
please.,O
Okay.,O
What,O
is,O
your,O
phone,O
number,O
man?,O
877-952-6987.,CD
"Okay,",O
I,O
have,O
877-952-6987.,CD
We,O
will,O
send,O
a,O
message,O
when,O
we,O
refund,O
the,O
money,O
to,O
your,O
account.,O
"Thanks,",O
Nancy.,PERSON
Have,O
a,O
good,O
"day,",O
man.,O
Thank,O
you.,O
