word,label
"Hello,",O
you,O
have,O
called,O
virtual,O
bank.,O
This,O
is,O
Linda,PERSON
speaking.,O
How,O
may,O
I,O
help,O
you?,O
Hey,O
Linda.,PERSON
I,O
would,O
like,O
to,O
merge,O
my,O
husband's,O
account,O
with,O
as,O
mine.,O
Okay.,O
Can,O
I,O
have,O
your,O
account,O
number,O
shower?,O
It,O
is,O
544-770-7888.,ACCNUM
"Okay,",O
I,O
have,O
544-777-8088.,ACCNUM
And,O
what,O
is,O
your,O
name,O
ma'am?,O
Ashley,PERSON
McMahon.,PERSON
"Okay,",O
I,O
have,O
Ashley,PERSON
McMahon.,PERSON
Can,O
I,O
have,O
your,O
identification,O
number,O
that,O
is,O
770-449-9999,IDCARD
859,O
Your,O
information,O
is,O
correct.,O
What,O
is,O
your,O
husband's,O
identification,O
number?,O
My,O
husband's,O
identification,O
number,O
is,O
550-500-5559.,IDCARD
684116,O
609,O
Mr.,O
Troy,PERSON
McMahon.,PERSON
Is,O
that,O
right?,O
Right?,O
What,O
is,O
your,O
husband's,O
account,O
number?,O
512-960-500-6063,ACCNUM
"Okay,",O
I,O
have,O
512-296-5663.,ACCNUM
Please.,O
"Wait,",O
okay.,O
I,O
just,O
merged,O
your,O
husband's,O
account,O
with,O
you.,O
Would,O
you,O
like,O
another,O
service,O
now?,O
"No,",O
thank,O
you.,O
Thank,O
you,O
for,O
using,O
our,O
service.,O
Have,O
a,O
good,O
day,O
ma'am.,O
